 ,movie_id,rank,votes,title,originalTitle,year,rating,titleType,isAdult,runtime,genres
293,tt9214832,273,54862,Emma.,Emma.,2020,6.7,movie,0,124,"Comedy, Drama, Romance            "
260,tt5968394,274,54828,Captive State,Captive State,2019,6,movie,0,109,"Action, Horror, Sci-Fi            "
262,tt6791096,275,54403,I Feel Pretty,I Feel Pretty,2018,5.6,movie,0,110,"Comedy, Romance            "
268,tt5834262,276,54210,Hotel Artemis,Hotel Artemis,2018,6.1,movie,0,94,"Action, Crime, Drama            "
271,tt4463894,277,54170,Shaft,Shaft,2019,6.4,movie,0,111,"Action, Comedy, Crime            "
270,tt7958736,278,53996,Ma,Ma,2019,5.6,movie,0,99,"Horror, Mystery, Thriller            "
280,tt8110640,279,53909,In the Shadow of the Moon,In the Shadow of the Moon,2019,6.2,movie,0,115,"Action, Crime, Mystery            "
350,tt9731534,280,53907,The Night House,The Night House,2020,6.5,movie,0,107,"Horror, Mystery, Thriller            "
282,tt10514222,281,53898,Ma Rainey's Black Bottom,Ma Rainey's Black Bottom,2020,6.9,movie,0,94,"Drama, Music            "
286,tt5246700,282,53801,How It Ends,How It Ends,2018,5,movie,0,113,"Action, Drama, Horror            "
278,tt6217306,283,53800,Apostle,Apostle,2018,6.3,movie,0,130,"Drama, Fantasy, Horror            "
269,tt3201640,284,53545,Extinction,Extinction,2018,5.8,movie,0,95,"Action, Drama, Sci-Fi            "
290,tt0983946,285,53049,Fantasy Island,Fantasy Island,2020,4.9,movie,0,109,"Fantasy, Horror, Mystery            "
274,tt4595882,286,52821,Can You Ever Forgive Me?,Can You Ever Forgive Me?,2018,7.1,movie,0,106,"Biography, Comedy, Crime            "
275,tt6820256,287,52814,Arctic,Arctic,2018,6.8,movie,0,98,"Adventure, Drama            "
279,tt8663516,288,52645,Child's Play,Child's Play,2019,5.7,movie,0,90,"Drama, Horror, Sci-Fi            "
276,tt2119543,289,52324,The House with a Clock in Its Walls,The House with a Clock in Its Walls,2018,6,movie,0,105,"Comedy, Family, Fantasy            "
283,tt9777644,290,51889,Da 5 Bloods,Da 5 Bloods,2020,6.5,movie,0,154,"Adventure, Drama, War            "
285,tt5697572,291,51724,Cats,Cats,2019,2.8,movie,0,110,"Comedy, Drama, Family            "
297,tt10682266,292,51635,Hubie Halloween,Hubie Halloween,2020,5.2,movie,0,103,"Comedy, Mystery            "
284,tt5865326,293,51418,The Laundromat,The Laundromat,2019,6.3,movie,0,96,"Comedy, Crime, Drama            "
289,tt2328900,294,51178,Mary Queen of Scots,Mary Queen of Scots,2018,6.3,movie,0,124,"Biography, Drama, History            "
321,tt11655202,295,51095,Riders of Justice,Retfærdighedens ryttere,2020,7.5,movie,0,116,"Action, Comedy, Drama            "
291,tt4913966,296,51092,The Curse of La Llorona,The Curse of La Llorona,2019,5.2,movie,0,93,"Horror, Mystery, Thriller            "
287,tt7549996,297,51081,Judy,Judy,2019,6.8,movie,0,118,"Biography, Drama, Romance            "
295,tt1838556,298,50968,Honest Thief,Honest Thief,2020,6,movie,0,99,"Action, Thriller            "
296,tt11161474,299,50359,Pieces of a Woman,Pieces of a Woman,2020,7,movie,0,126,Drama            
302,tt6079516,300,50311,I See You,I See You,2019,6.8,movie,0,98,"Crime, Drama, Horror            "
298,tt0800325,301,50303,The Dirt,The Dirt,2019,7,movie,0,107,"Biography, Comedy, Drama            "
292,tt5783956,302,49965,When We First Met,When We First Met,2018,6.4,movie,0,97,"Comedy, Fantasy, Romance            "
305,tt5814534,303,49870,Spies in Disguise,Spies in Disguise,2019,6.8,movie,0,102,"Animation, Action, Adventure            "
299,tt7504726,304,49764,The Call of the Wild,The Call of the Wild,2020,6.7,movie,0,100,"Adventure, Drama, Family            "
303,tt5116302,305,49450,Togo,Togo,2019,7.9,movie,0,113,"Adventure, Biography, Drama            "
294,tt7125860,306,49321,If Beale Street Could Talk,If Beale Street Could Talk,2018,7.1,movie,0,119,"Drama, Romance            "
328,tt8239946,307,49309,Tumbbad,Tumbbad,2018,8.2,movie,0,104,"Drama, Fantasy, Horror            "
301,tt10431500,308,49283,Miracle in Cell No. 7,Yedinci Kogustaki Mucize,2019,8.2,movie,0,132,Drama            
310,tt5073642,309,48821,Color Out of Space,Color Out of Space,2019,6.2,movie,0,111,"Horror, Mystery, Sci-Fi            "
316,tt7347846,310,48529,The Lodge,The Lodge,2019,6,movie,0,108,"Drama, Horror, Mystery            "
308,tt5431890,311,48402,Official Secrets,Official Secrets,2019,7.3,movie,0,112,"Biography, Crime, Drama            "
300,tt5177088,312,48254,The Girl in the Spider's Web,The Girl in the Spider's Web,2018,6.1,movie,0,115,"Action, Crime, Drama            "
315,tt1086064,313,48234,Bill & Ted Face the Music,Bill & Ted Face the Music,2020,5.9,movie,0,91,"Adventure, Comedy, Music            "
304,tt7734218,314,48023,Stuber,Stuber,2019,6.2,movie,0,93,"Action, Comedy, Crime            "
312,tt1289403,315,47333,The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and Potato Peel Pie Society,2018,7.3,movie,0,124,"Drama, Romance, War            "
311,tt6491178,316,47080,Dragged Across Concrete,Dragged Across Concrete,2018,6.9,movie,0,159,"Action, Thriller            "
318,tt8544498,317,46998,The Way Back,The Way Back,2020,6.7,movie,0,108,"Drama, Sport            "
307,tt7153766,318,46966,Unsane,Unsane,2018,6.4,movie,0,98,"Drama, Horror, Mystery            "
306,tt7431594,319,46884,Race 3,Race 3,2018,1.9,movie,0,160,"Action, Crime, Thriller            "
309,tt2837574,320,46635,The Old Man & the Gun,The Old Man & the Gun,2018,6.7,movie,0,93,"Biography, Comedy, Crime            "
314,tt5932728,321,46548,The Professor and the Madman,The Professor and the Madman,2019,7.2,movie,0,124,"Biography, Drama, History            "
317,tt7315484,322,45990,The Silence,The Silence,2019,5.3,movie,0,90,"Drama, Horror, Sci-Fi            "
319,tt6212478,323,45496,American Animals,American Animals,2018,7,movie,0,116,"Biography, Crime, Drama            "
313,tt1620680,324,45390,A Wrinkle in Time,A Wrinkle in Time,2018,4.2,movie,0,109,"Adventure, Family, Fantasy            "
320,tt5397194,325,45098,Anon,Anon,2018,6.1,movie,0,100,"Crime, Mystery, Sci-Fi            "
340,tt7060344,326,44939,Raatchasan,Ratsasan,2018,8.3,movie,0,170,"Crime, Drama, Mystery            "
324,tt7139936,327,44870,A Rainy Day in New York,A Rainy Day in New York,2019,6.5,movie,0,92,"Comedy, Romance            "
323,tt7772580,328,44243,The Perfection,The Perfection,2018,6.2,movie,0,90,"Drama, Horror, Music            "
326,tt8236336,329,44221,The Report,The Report,2019,7.2,movie,0,119,"Biography, Crime, Drama            "
334,tt2850386,330,43852,The Croods: A New Age,The Croods: A New Age,2020,6.9,movie,0,95,"Animation, Adventure, Comedy            "
325,tt5117670,331,43550,Peter Rabbit,Peter Rabbit,2018,6.6,movie,0,95,"Adventure, Comedy, Crime            "
330,tt5691670,332,43544,Under the Silver Lake,Under the Silver Lake,2018,6.5,movie,0,139,"Crime, Drama, Mystery            "
327,tt5208252,333,43174,Operation Finale,Operation Finale,2018,6.6,movie,0,122,"Biography, Drama, History            "
329,tt6772802,334,42759,Hillbilly Elegy,Hillbilly Elegy,2020,6.7,movie,0,116,Drama            
343,tt8508734,335,42744,His House,His House,2020,6.5,movie,0,93,"Drama, Horror, Thriller            "
332,tt2235695,336,42602,Rebecca,Rebecca,2020,6,movie,0,123,"Drama, Mystery, Romance            "
335,tt5563334,337,42593,The Good Liar,The Good Liar,2019,6.7,movie,0,109,"Crime, Drama, Mystery            "
322,tt7985648,338,42329,The Legend of Tomiris,Tomiris,2019,6.1,movie,0,156,"Action, Drama, History            "
331,tt6476140,339,41852,Serenity,Serenity,2019,5.4,movie,0,106,"Drama, Mystery, Thriller            "
352,tt0805647,340,41760,The Witches,The Witches,2020,5.3,movie,0,106,"Adventure, Comedy, Family            "
338,tt5774450,341,41744,Summer of 84,Summer of 84,2018,6.7,movie,0,105,"Drama, Horror, Mystery            "
368,tt9426210,342,41701,Weathering with You,Tenki no ko,2019,7.5,movie,0,112,"Animation, Drama, Fantasy            "
337,tt3361792,343,41590,Tolkien,Tolkien,2019,6.8,movie,0,112,"Biography, Drama, Romance            "
333,tt6781982,344,41403,Night School,Night School,2018,5.6,movie,0,111,Comedy            
372,tt5001754,345,41217,Braven,Braven,2018,5.9,movie,0,94,"Action, Thriller            "
357,tt11024272,346,41100,The Babysitter: Killer Queen,The Babysitter: Killer Queen,2020,5.8,movie,0,101,"Comedy, Horror            "
336,tt8206668,347,40660,Bad Education,Bad Education,2019,7.1,movie,0,108,"Biography, Comedy, Crime            "
339,tt6259380,348,40500,Code 8,Code 8,2019,6.1,movie,0,98,"Action, Crime, Drama            "
344,tt9619798,349,40317,The Wrong Missy,The Wrong Missy,2020,5.7,movie,0,90,"Comedy, Romance            "
360,tt10620868,350,40268,#Alive,#Saraitda,2020,6.3,movie,0,98,"Action, Drama, Horror            "
354,tt1620981,351,40203,The Addams Family,The Addams Family,2019,5.8,movie,0,86,"Animation, Comedy, Family            "
347,tt2395469,352,40117,Gully Boy,Gully Boy,2019,7.9,movie,0,154,"Drama, Music, Romance            "
356,tt8522006,353,40093,Happiest Season,Happiest Season,2020,6.6,movie,0,102,"Comedy, Drama, Romance            "
341,tt6182908,354,40012,Smallfoot,Smallfoot,2018,6.6,movie,0,96,"Animation, Adventure, Comedy            "
353,tt6803046,355,40007,The Vast of Night,The Vast of Night,2019,6.7,movie,0,91,"Drama, Mystery, Sci-Fi            "
